stone_id,name,runic,transliteration,translation,page_url,image_url
Sö 8,"Sö 8 - Södermanland: Nybble, Dillnäs",,kyla : auk : raknþruþr þaR : raistu : stain : at : uraiþ : faþur : si[n] buna auluafaR : bruþur : biarnaR : kuþ · hialbi : selu · ans,"Gylla och Ragntrud, de reste stenen efter Vred, sin fader, make till Olväv, broder till Björn. Gud hjälpe hans själ!",https://www.christerhamp.se/runor/gamla/so/so8.html,https://www.christerhamp.se/runor/gamla/so/so8s.jpg
Sö 9,"Sö 9 - Södermanland: Lifsinge, Dillnäs",,barkuiþr × auk × þu : helka × raistu × stain × þansi : at · ulf : sun · sin · han × entaþis + miþ : ikuari + kuþ + hialbi + salu ulfs ×,"Bergvid, han och Helga, reste denna sten efter Ulv, sin son. Han dog med Ingvar. Gud hjälpe Ulvs själ!",https://www.christerhamp.se/runor/gamla/so/so9.html,https://www.christerhamp.se/runor/gamla/so/so9s.jpg
Sö 10,Sö 10 - Södermanland: Frustuna kyrka,,inkimar * auk * inkimuntr * auk * suiunkR * þaiR * litu * raisa * stain * at * iarl * faþur : sin : kuþan : kuþ : halbi * ant hans *,"Ingemar och Ingemund och Svenung, de lät resa stenen efter Jarl, sin gode fader. Gud hjälpe hans ande.",https://www.christerhamp.se/runor/gamla/so/so10.html,https://www.christerhamp.se/runor/gamla/so/so10s.jpg
Sö 11,Sö 11 - Södermanland: Gryts kyrka,,fraybiarn : auk : kuţrun : ţau : ritu : stain : at * romunt * sun * sin * snialan * haiR * at * marhu * roţkais * broţiR * kuţ * hialbi * antu * ybiR * hiok runaR [iRma : k],"Fröbjörn och Gudrun, de reste stenen efter Romund, sin raske son, här till minnesmärke. [Han var] Rodgers broder. Gud hjälpe hans ande. Öpir högg runorna ...",https://www.christerhamp.se/runor/gamla/so/so11.html,https://www.christerhamp.se/runor/gamla/so/so11s.jpg
Sö 14,Sö 14 - Södermanland: Gåsinge kyrka,,rakna * raisti * stain * þansi * at * suin * buta * sit * auk * sifa * auk * r-knburk * at * sit * faþur * kuþ * hil[b]i * at * [hat]s * uit * iak * þet * uaR * sui- * uestr * miþ * kuti,"Ragna reste denna sten efter Sven, sin make, och Säva och Ragnborg efter sin fader. Gud hjälpe hans ande. Jag vet att Sven var västerut med Göt.",https://www.christerhamp.se/runor/gamla/so/so14.html,https://www.christerhamp.se/runor/gamla/so/so14s.jpg
Sö 15,Sö 15 - Södermanland: Gåsinge kyrka,,... * tau₫ * mu...,... död mo[der] ...,https://www.christerhamp.se/runor/gamla/so/so15.html,https://www.christerhamp.se/runor/gamla/so/so15s.jpg
Sö 16,Sö 16 - Södermanland: Kattnäs kyrkogård,,... ...uþin * han * unR * tauþr * i[hail]... ... [iþaby] halbi * kuþ * aat * aR/ma,...uden[?] han blev död ... i Hedeby. Gud hjälpe anden.,https://www.christerhamp.se/runor/gamla/so/so16.html,https://www.christerhamp.se/runor/gamla/so/so16s.jpg
Sö 20,"Sö 20 - Södermanland: Smedsta, Hölö",,...uþmunr ti : riti : stin : þensa * abtiR : þurfas : fu... ...,Gudmund lät resa denna sten efter Torfast ...,https://www.christerhamp.se/runor/gamla/so/so20.html,https://www.christerhamp.se/runor/gamla/so/so20s.jpg
Sö 22,"Sö 22 - Södermanland: Håga, Mörkö",,* þrikr : auk : frusti : litu : k(a)r[a * bro : a]uk * [l]itu raisa : stin at : orma : faþur : sin : koþan,"och Froste lät göra bron och resa stenen efter Orme, sin gode fader",https://www.christerhamp.se/runor/gamla/so/so22.html,https://www.christerhamp.se/runor/gamla/so/so22s.jpg
Sö 24,"Sö 24 - Södermanland: Berga, Trosa-Vagnhärad",ᚠᛁᛅᛟ ᛊᚫᛚᛁᚫᚷᚫᛊᛏᛁᛉ,fino saligastiz,"Fino, Saligester",https://www.christerhamp.se/runor/gamla/so/so24.html,https://www.christerhamp.se/runor/gamla/so/so24s.jpg
